id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,away_id,away_team,away_conference,away_division,away_points
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,false,true,41064,3832,Memorial Stadium,356,Illinois,Big Ten,fbs,30,158,Nebraska,Big Ten,fbs,22
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,false,false,26043,3660,Bulldog Stadium,278,Fresno State,Mountain West,fbs,45,41,Connecticut,FBS Independents,fbs,0
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,false,false,32982,1056,Rose Bowl,26,UCLA,Pac-12,fbs,44,62,Hawai'i,Mountain West,fbs,10
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,false,false,19034,3601,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,fbs,3,2638,UTEP,Conference USA,fbs,30
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,false,false,16204,3935,Spartan Stadium,23,San José State,Mountain West,fbs,45,253,Southern Utah,Big Sky,fcs,14
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,true,false,9122,3689,Cramton Bowl,55,Jacksonville State,AWC,fcs,0,5,UAB,Conference USA,fbs,31
401309540,2021,1,regular,2021-09-02T23:00:00.000Z,false,false,13149,3919,Scheumann Stadium,2050,Ball State,Mid-American,fbs,31,2710,Western Illinois,MVFC,fcs,21
401309542,2021,1,regular,2021-09-02T23:00:00.000Z,false,false,17521,3965,UB Stadium,2084,Buffalo,Mid-American,fbs,69,2681,Wagner,NEC,fcs,7
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,false,false,43928,3652,Bright House Networks Stadium,2116,UCF,American Athletic,fbs,36,68,Boise State,Mountain West,fbs,31
401328545,2021,1,regular,2021-09-02T23:00:00.000Z,false,false,16236,3654,Brooks Stadium,324,Coastal Carolina,Sun Belt,fbs,52,2643,The Citadel,Southern,fcs,14
401282607,2021,1,regular,2021-09-02T23:30:00.000Z,false,false,52633,3670,Carter-Finley Stadium,152,NC State,ACC,fbs,45,58,South Florida,American Athletic,fbs,0
401300993,2021,1,regular,2021-09-02T23:30:00.000Z,false,false,36752,3792,Kidd Brewer Stadium,2026,Appalachian State,Sun Belt,fbs,33,151,East Carolina,American Athletic,fbs,19
401300994,2021,1,regular,2021-09-02T23:30:00.000Z,false,false,15085,3674,Skelly Field at H. A. Chapman Stadium,202,Tulsa,American Athletic,fbs,17,302,UC Davis,Big Sky,fcs,19
401309834,2021,1,regular,2021-09-02T23:30:00.000Z,false,false,51511,587,Rice-Eccles Stadium,254,Utah,Pac-12,fbs,40,2692,Weber State,Big Sky,fcs,17
401282789,2021,1,regular,2021-09-03T00:00:00.000Z,false,true,50805,3953,TCF Bank Stadium,135,Minnesota,Big Ten,fbs,31,194,Ohio State,Big Ten,fbs,45
401282180,2021,1,regular,2021-09-03T00:00:00.000Z,false,false,16236,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,fbs,59,2630,UT Martin,OVC,fcs,21
401281952,2021,1,regular,2021-09-03T00:00:00.000Z,false,false,84314,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,38,189,Bowling Green,Mid-American,fbs,6
401310696,2021,1,regular,2021-09-03T00:00:00.000Z,false,false,15908,3971,University Stadium,167,New Mexico,Mountain West,fbs,27,2277,Houston Christian,Southland,fcs,17
401282051,2021,1,regular,2021-09-03T00:05:00.000Z,false,false,0,218,FIU Stadium,2229,Florida International,Conference USA,fbs,48,112358,Long Island University,NEC,fcs,10
401310694,2021,1,regular,2021-09-03T02:00:00.000Z,false,false,21970,6501,Allegiant Stadium,2439,UNLV,Mountain West,fbs,33,331,Eastern Washington,Big Sky,fcs,35
401309835,2021,1,regular,2021-09-03T02:30:00.000Z,false,false,44456,3947,Sun Devil Stadium,9,Arizona State,Pac-12,fbs,41,253,Southern Utah,Big Sky,fcs,14
401309937,2021,1,regular,2021-09-03T22:00:00.000Z,false,true,65632,3799,Lane Stadium,259,Virginia Tech,ACC,fbs,17,153,North Carolina,ACC,fbs,10
401309541,2021,1,regular,2021-09-03T23:00:00.000Z,false,false,16461,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,fbs,35,2598,St Francis (PA),NEC,fcs,15
401282608,2021,1,regular,2021-09-03T23:00:00.000Z,false,false,25673,3630,BB&T Field,154,Wake Forest,ACC,fbs,42,295,Old Dominion,Conference USA,fbs,10
401282052,2021,1,regular,2021-09-03T23:00:00.000Z,false,false,14125,4418,Jerry Richardson Stadium,2429,Charlotte,Conference USA,fbs,31,150,Duke,ACC,fbs,28
401287888,2021,1,regular,2021-09-04T00:00:00.000Z,false,false,26103,3833,Memorial Stadium,2305,Kansas,Big 12,fbs,17,233,South Dakota,MVFC,fcs,14
401309836,2021,1,regular,2021-09-04T01:00:00.000Z,false,false,44153,3726,Folsom Field,38,Colorado,Pac-12,fbs,35,2458,Northern Colorado,Big Sky,fcs,7
401310695,2021,1,regular,2021-09-04T01:00:00.000Z,false,false,32327,5388,Canvas Stadium,36,Colorado State,Mountain West,fbs,23,2571,South Dakota State,MVFC,fcs,42
